,url,group,duration,nbytes,throughput,test_type,kerchunk,iteration,file_type
50,s3://mast/test/perf/data/30420.nc,efm,0.4697122573852539,4079280,8684636.042304108,load,True,2,nc
51,s3://mast/test/perf/data/30420.nc,efm,8.664448022842407,4079236,470801.6008920312,load,False,2,nc
52,s3://mast/test/perf/data/30420.nc,rbb,0.1411747932434082,82004208,580870041.4287944,open,True,2,nc
53,s3://mast/test/perf/data/30420.nc,rbb,6.316442012786865,82004208,12982658.248740746,open,False,2,nc
54,s3://mast/test/perf/data/30420.nc,rbb,20.51925778388977,82004208,3996450.9858823325,load,True,2,nc
55,s3://mast/test/perf/data/30420.nc,rbb,26.894607067108154,82004208,3049094.8536775745,load,False,2,nc
56,s3://mast/test/perf/data/30420.zarr,efm,1.2376987934112549,4079236,3295822.8784865406,open,True,2,zarr
57,s3://mast/test/perf/data/30420.zarr,efm,1.0568859577178955,4079236,3859674.707769021,open,False,2,zarr
58,s3://mast/test/perf/data/30420.zarr,efm,1.2818560600280762,4079236,3182288.657207466,load,True,2,zarr
59,s3://mast/test/perf/data/30420.zarr,efm,1.3096199035644531,4079236,3114824.3768267073,load,False,2,zarr
60,s3://mast/test/perf/data/30420.zarr,rbb,0.13392019271850586,82004208,612336394.7987225,open,True,2,zarr
61,s3://mast/test/perf/data/30420.zarr,rbb,0.1037449836730957,82004208,790440222.7137873,open,False,2,zarr
62,s3://mast/test/perf/data/30420.zarr,rbb,14.20681381225586,82004208,5772174.470904732,load,True,2,zarr
63,s3://mast/test/perf/data/30420.zarr,rbb,15.892026662826538,82004208,5160084.974675899,load,False,2,zarr
64,s3://mast/test/perf/data/30420.h5,efm,0.17461800575256348,4079280,23361164.74597932,open,True,2,h5
65,s3://mast/test/perf/data/30420.h5,efm,8.980061292648315,4079236,454254.8059599034,open,False,2,h5
66,s3://mast/test/perf/data/30420.h5,efm,0.5015180110931396,4079280,8133865.404172722,load,True,2,h5
67,s3://mast/test/perf/data/30420.h5,efm,8.830096006393433,4079236,461969.609055941,load,False,2,h5
68,s3://mast/test/perf/data/30420.h5,rbb,0.15912604331970215,82004208,515341211.84201324,open,True,2,h5
69,s3://mast/test/perf/data/30420.h5,rbb,6.041843891143799,82004208,13572712.151699694,open,False,2,h5
70,s3://mast/test/perf/data/30420.h5,rbb,19.682862043380737,82004208,4166274.590517575,load,True,2,h5
71,s3://mast/test/perf/data/30420.h5,rbb,26.43372106552124,82004208,3102257.4459621576,load,False,2,h5
72,s3://mast/test/perf/data/30420.nc,efm,0.11047124862670898,4079280,36926169.03230819,open,True,3,nc
73,s3://mast/test/perf/data/30420.nc,efm,8.693675756454468,4079236,469218.78780347225,open,False,3,nc
74,s3://mast/test/perf/data/30420.nc,efm,0.48193812370300293,4079280,8464323.114047477,load,True,3,nc
75,s3://mast/test/perf/data/30420.nc,efm,8.649884939193726,4079236,471594.2499438882,load,False,3,nc
76,s3://mast/test/perf/data/30420.nc,rbb,0.09381890296936035,82004208,874069141.7675303,open,True,3,nc
77,s3://mast/test/perf/data/30420.nc,rbb,6.119058847427368,82004208,13401441.307346959,open,False,3,nc
78,s3://mast/test/perf/data/30420.nc,rbb,19.575376987457275,82004208,4189150.8936222973,load,True,3,nc
79,s3://mast/test/perf/data/30420.nc,rbb,26.50126886367798,82004208,3094350.2525040624,load,False,3,nc
80,s3://mast/test/perf/data/30420.zarr,efm,1.0726616382598877,4079236,3802910.3069421696,open,True,3,zarr
81,s3://mast/test/perf/data/30420.zarr,efm,0.9799301624298096,4079236,4162782.3659241507,open,False,3,zarr
82,s3://mast/test/perf/data/30420.zarr,efm,1.2230069637298584,4079236,3335415.1864837906,load,True,3,zarr
83,s3://mast/test/perf/data/30420.zarr,efm,1.6237831115722656,4079236,2512180.334262859,load,False,3,zarr
84,s3://mast/test/perf/data/30420.zarr,rbb,0.1501750946044922,82004208,546057308.7433035,open,True,3,zarr
85,s3://mast/test/perf/data/30420.zarr,rbb,0.1690981388092041,82004208,484950387.84860045,open,False,3,zarr
86,s3://mast/test/perf/data/30420.zarr,rbb,14.475398302078247,82004208,5665074.375758391,load,True,3,zarr
87,s3://mast/test/perf/data/30420.zarr,rbb,14.996711015701294,82004208,5468146.176461161,load,False,3,zarr
88,s3://mast/test/perf/data/30420.h5,efm,0.11374998092651367,4079280,35861808.21107436,open,True,3,h5
89,s3://mast/test/perf/data/30420.h5,efm,8.765407085418701,4079236,465378.9561908459,open,False,3,h5
90,s3://mast/test/perf/data/30420.h5,efm,0.5556509494781494,4079280,7341443.407648519,load,True,3,h5
